ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
37016;2;2015;1;15;71.2;76.9;72.7;70.2;66.3;63.3;0.0;1.0;0.0;0.0;2
37017;2;2015;1;15;66.0;72.8;69.2;63.1;55.8;50.9;0.0;0.0;1.0;0.0;1
37018;2;2015;1;15;69.9;75.9;72.2;69.0;59.9;52.6;0.0;0.0;0.0;1.0;0
37131;2;2015;1;16;71.4;77.4;72.8;70.1;66.9;63.9;1.0;0.0;0.0;0.0;2
37132;2;2015;1;16;70.9;77.7;72.1;69.6;66.3;63.0;0.0;1.0;0.0;0.0;2
37133;2;2015;1;16;68.5;75.3;71.6;66.7;61.0;56.8;0.0;0.0;1.0;0.0;2
37134;2;2015;1;16;70.5;76.8;72.3;69.4;63.9;58.4;0.0;0.0;0.0;1.0;0
37244;2;2015;1;17;70.2;76.2;71.5;68.8;64.1;60.9;1.0;0.0;0.0;0.0;2
37245;2;2015;1;17;70.3;76.1;71.4;69.1;65.6;61.9;0.0;1.0;0.0;0.0;2
37246;2;2015;1;17;68.4;76.4;70.4;66.4;61.4;58.3;0.0;0.0;1.0;0.0;2
37247;2;2015;1;17;69.7;76.4;71.3;68.3;63.1;59.4;0.0;0.0;0.0;1.0;0
37356;2;2015;1;18;69.4;76.4;71.2;67.8;62.4;57.7;1.0;0.0;0.0;0.0;2
37357;2;2015;1;18;70.1;74.4;72.1;69.3;64.5;61.3;0.0;1.0;0.0;0.0;2
37358;2;2015;1;18;68.0;74.8;70.4;66.3;60.6;56.9;0.0;0.0;1.0;0.0;1
37359;2;2015;1;18;69.2;75.4;71.4;67.7;62.1;57.8;0.0;0.0;0.0;1.0;0
37468;2;2015;1;19;70.7;76.2;72.3;69.8;66.3;63.1;1.0;0.0;0.0;0.0;2
37469;2;2015;1;19;69.9;76.2;71.4;68.7;63.9;60.4;0.0;1.0;0.0;0.0;2
37470;2;2015;1;19;67.9;74.7;71.5;65.4;57.5;52.2;0.0;0.0;1.0;0.0;1
37471;2;2015;1;19;69.7;75.7;71.9;68.7;61.6;54.6;0.0;0.0;0.0;1.0;0
37580;2;2015;1;20;70.8;76.7;72.5;70.0;66.5;63.3;1.0;0.0;0.0;0.0;2
37581;2;2015;1;20;70.1;76.2;71.8;68.9;64.6;60.8;0.0;1.0;0.0;0.0;2
37582;2;2015;1;20;66.0;73.1;69.1;62.4;55.5;50.2;0.0;0.0;1.0;0.0;1
37583;2;2015;1;20;69.6;75.9;72.0;68.6;59.6;52.2;0.0;0.0;0.0;1.0;0
37695;2;2015;1;21;71.1;76.4;72.4;70.1;66.7;63.8;1.0;0.0;0.0;0.0;2
37696;2;2015;1;21;70.9;78.1;72.1;69.5;65.0;61.6;0.0;1.0;0.0;0.0;2
37697;2;2015;1;21;66.1;72.8;69.1;62.7;55.3;50.1;0.0;0.0;1.0;0.0;1
37698;2;2015;1;21;69.9;75.7;72.0;68.7;59.8;52.6;0.0;0.0;0.0;1.0;0
37811;2;2015;1;22;71.0;76.9;72.3;69.9;66.5;63.6;1.0;0.0;0.0;0.0;2
37812;2;2015;1;22;70.2;76.7;71.8;69.2;65.5;62.3;0.0;1.0;0.0;0.0;2
37813;2;2015;1;22;66.3;73.9;69.6;63.6;56.4;51.7;0.0;0.0;1.0;0.0;1
37814;2;2015;1;22;69.8;76.2;71.9;68.7;60.7;53.8;0.0;0.0;0.0;1.0;0
37927;2;2015;1;23;71.3;78.1;72.6;69.9;66.5;63.1;1.0;0.0;0.0;0.0;2
37928;2;2015;1;23;70.4;76.2;71.7;69.2;66.0;62.3;0.0;1.0;0.0;0.0;2
37929;2;2015;1;23;67.4;73.4;70.1;65.3;59.3;55.7;0.0;0.0;1.0;0.0;1
37930;2;2015;1;23;70.2;76.4;72.0;68.9;62.6;57.1;0.0;0.0;0.0;1.0;0
38049;2;2015;1;24;69.8;76.2;71.5;68.7;63.9;60.5;1.0;0.0;0.0;0.0;2
38050;2;2015;1;24;70.4;77.1;71.5;69.1;65.7;62.3;0.0;1.0;0.0;0.0;2
38051;2;2015;1;24;68.3;74.2;70.5;66.7;61.6;58.4;0.0;0.0;1.0;0.0;2
38052;2;2015;1;24;69.5;75.8;71.2;68.2;63.1;59.1;0.0;0.0;0.0;1.0;0
38173;2;2015;1;25;69.0;75.8;70.5;67.4;62.7;59.4;1.0;0.0;0.0;0.0;2
38174;2;2015;1;25;69.2;76.4;70.6;67.7;63.2;59.9;0.0;1.0;0.0;0.0;2
38175;2;2015;1;25;67.9;73.4;70.1;66.3;61.1;57.5;0.0;0.0;1.0;0.0;1
38176;2;2015;1;25;68.6;74.8;70.4;67.1;62.1;58.6;0.0;0.0;0.0;1.0;0
38297;2;2015;1;26;70.5;76.2;72.2;69.4;65.8;62.5;1.0;0.0;0.0;0.0;2
38298;2;2015;1;26;68.9;74.9;70.9;68.0;63.6;60.3;0.0;1.0;0.0;0.0;2
