ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
93;55;2014;1;1;56.5;63.2;56.2;48.3;43.2;41.7;1.0;0.0;0.0;0.0
94;55;2014;1;1;54.8;62.1;55.9;49.4;46.0;44.3;0.0;1.0;0.0;0.0
95;55;2014;1;1;65.5;66.5;55.8;45.7;41.8;40.2;0.0;0.0;1.0;0.0
96;55;2014;1;1;61.6;63.6;56.1;48.1;43.0;41.4;0.0;0.0;0.0;1.0
193;55;2014;1;2;57.6;65.8;61.3;53.9;50.1;48.3;1.0;0.0;0.0;0.0
194;55;2014;1;2;55.4;64.1;58.9;51.6;47.7;46.0;0.0;1.0;0.0;0.0
195;55;2014;1;2;50.5;62.0;52.4;44.6;41.4;40.4;0.0;0.0;1.0;0.0
196;55;2014;1;2;55.9;65.0;59.6;51.6;42.8;41.0;0.0;0.0;0.0;1.0
293;55;2014;1;3;55.8;64.1;59.4;52.3;48.8;47.0;1.0;0.0;0.0;0.0
294;55;2014;1;3;56.6;65.4;60.0;52.6;48.1;46.2;0.0;1.0;0.0;0.0
295;55;2014;1;3;50.2;60.8;52.6;45.4;42.4;41.2;0.0;0.0;1.0;0.0
296;55;2014;1;3;54.8;64.0;58.5;50.9;43.8;41.7;0.0;0.0;0.0;1.0
393;55;2014;1;4;57.4;65.9;60.2;53.6;48.2;45.7;1.0;0.0;0.0;0.0
394;55;2014;1;4;54.3;62.0;57.3;51.5;47.3;45.2;0.0;1.0;0.0;0.0
395;55;2014;1;4;50.9;61.2;53.6;46.9;43.4;42.1;0.0;0.0;1.0;0.0
396;55;2014;1;4;55.4;64.5;58.5;50.9;44.8;42.4;0.0;0.0;0.0;1.0
493;55;2014;1;5;53.6;62.5;56.9;49.2;45.4;43.2;1.0;0.0;0.0;0.0
494;55;2014;1;5;55.6;63.1;57.6;49.6;45.3;43.6;0.0;1.0;0.0;0.0
495;55;2014;1;5;49.0;59.9;50.8;44.3;41.8;41.0;0.0;0.0;1.0;0.0
496;55;2014;1;5;53.3;62.3;56.0;47.9;43.1;41.2;0.0;0.0;0.0;1.0
593;55;2014;1;6;52.2;61.4;55.5;48.2;44.5;43.1;1.0;0.0;0.0;0.0
594;55;2014;1;6;52.8;61.6;56.1;49.4;45.5;42.6;0.0;1.0;0.0;0.0
595;55;2014;1;6;50.6;61.2;51.6;44.1;41.1;40.1;0.0;0.0;1.0;0.0
596;55;2014;1;6;51.4;61.2;54.5;46.9;42.1;40.3;0.0;0.0;0.0;1.0
693;55;2014;1;7;56.6;64.9;59.3;51.7;47.3;45.0;1.0;0.0;0.0;0.0
694;55;2014;1;7;54.2;62.8;57.5;50.9;46.8;44.6;0.0;1.0;0.0;0.0
695;55;2014;1;7;48.9;60.5;50.9;43.2;40.1;39.1;0.0;0.0;1.0;0.0
696;55;2014;1;7;54.8;63.4;57.9;49.7;41.3;39.3;0.0;0.0;0.0;1.0
793;55;2014;1;8;56.3;64.1;59.7;52.8;47.8;45.1;1.0;0.0;0.0;0.0
794;55;2014;1;8;55.6;63.1;58.3;53.2;49.7;47.7;0.0;1.0;0.0;0.0
795;55;2014;1;8;50.7;60.5;53.3;46.4;41.6;40.3;0.0;0.0;1.0;0.0
796;55;2014;1;8;55.0;63.4;58.5;51.4;44.0;41.0;0.0;0.0;0.0;1.0
893;55;2014;1;9;57.7;65.2;60.2;53.5;47.9;44.9;1.0;0.0;0.0;0.0
894;55;2014;1;9;56.1;63.8;58.8;53.9;50.8;48.7;0.0;1.0;0.0;0.0
895;55;2014;1;9;51.6;60.7;54.7;47.5;42.6;41.2;0.0;0.0;1.0;0.0
896;55;2014;1;9;56.1;64.0;58.9;52.0;44.7;41.8;0.0;0.0;0.0;1.0
993;55;2014;1;10;59.9;65.2;60.1;53.7;48.8;46.0;1.0;0.0;0.0;0.0
994;55;2014;1;10;54.8;63.1;57.7;51.4;47.3;45.0;0.0;1.0;0.0;0.0
995;55;2014;1;10;51.2;61.3;54.1;47.0;43.2;41.5;0.0;0.0;1.0;0.0
996;55;2014;1;10;57.6;64.1;58.7;51.2;44.8;42.2;0.0;0.0;0.0;1.0
1093;55;2014;1;11;53.7;62.5;57.0;49.1;44.7;42.4;1.0;0.0;0.0;0.0
1094;55;2014;1;11;53.9;62.6;56.9;49.8;46.4;45.0;0.0;1.0;0.0;0.0
1095;55;2014;1;11;49.5;59.8;51.6;44.5;40.7;40.0;0.0;0.0;1.0;0.0
1096;55;2014;1;11;52.8;61.9;55.9;48.0;42.4;40.2;0.0;0.0;0.0;1.0
