ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
29;13;2014;1;1;62.4;67.9;59.6;52.7;46.5;45.2;1.0;0.0;0.0;0.0
30;13;2014;1;1;58.4;67.9;61.1;55.2;49.5;47.0;0.0;1.0;0.0;0.0
31;13;2014;1;1;84.8;98.6;71.0;55.7;48.2;46.2;0.0;0.0;1.0;0.0
32;13;2014;1;1;80.0;85.4;62.0;54.0;47.3;45.3;0.0;0.0;0.0;1.0
129;13;2014;1;2;60.1;66.9;62.4;57.5;52.2;48.6;1.0;0.0;0.0;0.0
130;13;2014;1;2;63.0;71.2;61.5;56.7;52.0;49.2;0.0;1.0;0.0;0.0
131;13;2014;1;2;51.1;60.2;53.9;47.2;45.4;45.0;0.0;0.0;1.0;0.0
132;13;2014;1;2;59.5;66.3;61.4;54.9;46.4;45.1;0.0;0.0;0.0;1.0
229;13;2014;1;3;62.2;69.9;62.5;57.4;52.1;49.2;1.0;0.0;0.0;0.0
230;13;2014;1;3;59.2;66.0;62.6;57.5;52.0;49.1;0.0;1.0;0.0;0.0
231;13;2014;1;3;51.2;59.9;54.4;48.4;46.3;45.3;0.0;0.0;1.0;0.0
232;13;2014;1;3;60.1;67.3;61.6;55.2;47.2;45.8;0.0;0.0;0.0;1.0
329;13;2014;1;4;61.3;69.3;63.4;57.8;51.1;48.0;1.0;0.0;0.0;0.0
330;13;2014;1;4;59.5;66.8;61.3;56.8;52.3;49.3;0.0;1.0;0.0;0.0
331;13;2014;1;4;53.2;62.3;56.2;49.3;46.5;45.5;0.0;0.0;1.0;0.0
332;13;2014;1;4;59.5;67.7;61.9;55.3;47.7;46.1;0.0;0.0;0.0;1.0
429;13;2014;1;5;59.6;70.5;61.8;54.8;47.9;46.2;1.0;0.0;0.0;0.0
430;13;2014;1;5;58.9;66.3;60.9;56.1;51.4;49.0;0.0;1.0;0.0;0.0
431;13;2014;1;5;51.8;61.0;55.7;47.8;45.4;45.0;0.0;0.0;1.0;0.0
432;13;2014;1;5;58.1;68.9;60.4;53.2;46.3;45.1;0.0;0.0;0.0;1.0
529;13;2014;1;6;60.3;64.9;59.9;54.2;47.3;45.4;1.0;0.0;0.0;0.0
530;13;2014;1;6;58.9;66.7;60.5;55.4;50.3;47.3;0.0;1.0;0.0;0.0
531;13;2014;1;6;53.8;61.9;57.4;50.3;45.7;45.1;0.0;0.0;1.0;0.0
532;13;2014;1;6;58.6;64.4;59.4;53.1;46.5;45.2;0.0;0.0;0.0;1.0
629;13;2014;1;7;60.0;67.4;61.3;56.4;51.0;47.7;1.0;0.0;0.0;0.0
630;13;2014;1;7;57.7;65.9;60.2;55.6;50.6;48.4;0.0;1.0;0.0;0.0
631;13;2014;1;7;53.2;62.9;55.8;46.9;45.3;45.0;0.0;0.0;1.0;0.0
632;13;2014;1;7;58.2;66.3;60.3;54.1;46.0;45.1;0.0;0.0;0.0;1.0
729;13;2014;1;8;59.2;66.5;61.7;57.3;52.6;50.0;1.0;0.0;0.0;0.0
730;13;2014;1;8;57.8;64.7;60.5;56.2;51.5;49.3;0.0;1.0;0.0;0.0
731;13;2014;1;8;50.8;59.7;54.1;47.8;46.4;46.0;0.0;0.0;1.0;0.0
732;13;2014;1;8;57.5;65.1;60.6;55.0;47.1;46.1;0.0;0.0;0.0;1.0
829;13;2014;1;9;58.6;65.8;61.4;57.1;52.7;50.1;1.0;0.0;0.0;0.0
830;13;2014;1;9;58.1;64.0;60.4;56.2;51.7;49.4;0.0;1.0;0.0;0.0
831;13;2014;1;9;50.9;59.5;54.1;48.3;46.7;46.1;0.0;0.0;1.0;0.0
832;13;2014;1;9;57.1;64.7;60.5;55.0;47.5;46.2;0.0;0.0;0.0;1.0
929;13;2014;1;10;58.9;66.7;61.6;57.1;52.7;50.1;1.0;0.0;0.0;0.0
930;13;2014;1;10;58.6;66.4;60.8;56.7;52.1;49.3;0.0;1.0;0.0;0.0
931;13;2014;1;10;52.9;61.0;55.3;49.1;47.3;46.4;0.0;0.0;1.0;0.0
932;13;2014;1;10;57.6;65.7;60.6;55.1;47.9;47.0;0.0;0.0;0.0;1.0
1029;13;2014;1;11;59.4;66.3;62.5;58.1;50.0;47.0;1.0;0.0;0.0;0.0
1030;13;2014;1;11;59.2;64.7;60.1;55.5;51.2;48.7;0.0;1.0;0.0;0.0
1031;13;2014;1;11;52.2;60.7;55.1;48.0;46.4;46.0;0.0;0.0;1.0;0.0
1032;13;2014;1;11;57.9;65.3;61.4;54.8;47.1;46.1;0.0;0.0;0.0;1.0
1129;13;2014;1;12;56.2;64.1;59.5;53.5;46.9;45.4;1.0;0.0;0.0;0.0
1130;13;2014;1;12;56.4;64.7;59.7;54.3;49.2;47.1;0.0;1.0;0.0;0.0
1131;13;2014;1;12;51.9;61.0;55.7;47.9;46.2;45.2;0.0;0.0;1.0;0.0
1132;13;2014;1;12;55.2;63.5;58.8;51.6;46.5;45.3;0.0;0.0;0.0;1.0
1229;13;2014;1;13;59.4;65.2;61.5;57.3;52.8;49.3;1.0;0.0;0.0;0.0
1230;13;2014;1;13;57.6;65.3;60.6;55.6;50.4;48.4;0.0;1.0;0.0;0.0
1231;13;2014;1;13;51.3;60.9;54.6;47.6;46.1;45.2;0.0;0.0;1.0;0.0
1232;13;2014;1;13;57.6;64.6;60.5;54.8;46.7;45.5;0.0;0.0;0.0;1.0
1329;13;2014;1;14;59.3;67.6;61.8;57.4;53.1;50.5;1.0;0.0;0.0;0.0
1330;13;2014;1;14;57.4;64.0;60.2;56.1;52.2;50.2;0.0;1.0;0.0;0.0
1331;13;2014;1;14;52.7;61.2;53.8;47.8;46.4;46.0;0.0;0.0;1.0;0.0
1332;13;2014;1;14;57.6;66.4;60.7;55.2;47.1;46.1;0.0;0.0;0.0;1.0
1429;13;2014;1;15;59.3;67.9;61.9;57.3;52.8;50.2;1.0;0.0;0.0;0.0
1430;13;2014;1;15;57.3;64.7;60.2;55.5;50.2;47.6;0.0;1.0;0.0;0.0
1431;13;2014;1;15;51.4;60.1;53.9;48.6;46.3;46.0;0.0;0.0;1.0;0.0
1432;13;2014;1;15;57.5;66.4;60.7;54.7;47.1;46.1;0.0;0.0;0.0;1.0
1529;13;2014;1;16;59.3;66.4;61.9;57.5;53.0;50.2;1.0;0.0;0.0;0.0
1530;13;2014;1;16;58.0;64.7;60.9;56.6;51.7;49.0;0.0;1.0;0.0;0.0
1531;13;2014;1;16;51.1;60.3;54.4;47.9;46.4;46.0;0.0;0.0;1.0;0.0
1532;13;2014;1;16;57.5;65.2;60.9;55.2;47.3;46.1;0.0;0.0;0.0;1.0
1629;13;2014;1;17;58.9;65.8;61.5;57.1;52.6;50.3;1.0;0.0;0.0;0.0
1630;13;2014;1;17;58.1;64.8;60.7;56.6;51.9;49.2;0.0;1.0;0.0;0.0
1631;13;2014;1;17;51.8;60.4;54.2;47.7;46.2;45.3;0.0;0.0;1.0;0.0
1632;13;2014;1;17;57.4;64.9;60.6;55.0;46.8;45.9;0.0;0.0;0.0;1.0
1729;13;2014;1;18;58.4;65.2;60.6;55.4;49.1;46.3;1.0;0.0;0.0;0.0
1730;13;2014;1;18;58.5;65.7;61.4;56.1;51.1;48.3;0.0;1.0;0.0;0.0
1731;13;2014;1;18;52.8;61.9;56.6;49.2;47.1;46.1;0.0;0.0;1.0;0.0
1732;13;2014;1;18;57.3;64.6;60.1;53.7;47.7;46.2;0.0;0.0;0.0;1.0
1829;13;2014;1;19;57.1;65.1;60.8;54.1;46.9;45.1;1.0;0.0;0.0;0.0
1830;13;2014;1;19;56.6;63.9;59.9;54.7;49.7;47.6;0.0;1.0;0.0;0.0
1831;13;2014;1;19;56.7;61.6;56.0;47.7;45.3;45.0;0.0;0.0;1.0;0.0
1832;13;2014;1;19;56.8;64.3;59.7;52.3;45.8;45.0;0.0;0.0;0.0;1.0
1929;13;2014;1;20;58.7;65.8;61.7;57.1;52.4;49.5;1.0;0.0;0.0;0.0
1930;13;2014;1;20;57.1;64.6;60.3;55.2;50.4;48.2;0.0;1.0;0.0;0.0
1931;13;2014;1;20;51.7;60.7;53.8;47.1;45.4;45.0;0.0;0.0;1.0;0.0
1932;13;2014;1;20;57.0;64.8;60.7;54.5;46.1;45.1;0.0;0.0;0.0;1.0
2029;13;2014;1;21;59.0;67.1;61.7;57.0;52.3;49.6;1.0;0.0;0.0;0.0
2030;13;2014;1;21;58.3;65.5;61.2;56.7;52.5;50.2;0.0;1.0;0.0;0.0
2031;13;2014;1;21;52.9;61.9;54.1;47.1;46.0;45.1;0.0;0.0;1.0;0.0
2032;13;2014;1;21;57.6;66.1;60.8;54.9;46.5;45.3;0.0;0.0;0.0;1.0
2129;13;2014;1;22;59.2;66.5;61.9;57.4;52.7;50.2;1.0;0.0;0.0;0.0
2130;13;2014;1;22;58.4;65.5;61.0;56.6;51.5;49.0;0.0;1.0;0.0;0.0
2131;13;2014;1;22;52.0;61.5;55.3;48.5;45.4;45.0;0.0;0.0;1.0;0.0
2132;13;2014;1;22;57.7;65.5;61.0;55.1;46.5;45.1;0.0;0.0;0.0;1.0
2229;13;2014;1;23;59.8;66.7;62.0;57.7;53.0;50.2;1.0;0.0;0.0;0.0
2230;13;2014;1;23;57.9;65.7;60.7;56.2;51.0;48.1;0.0;1.0;0.0;0.0
2231;13;2014;1;23;51.3;60.5;54.2;48.0;46.6;46.1;0.0;0.0;1.0;0.0
2232;13;2014;1;23;57.9;65.6;60.9;55.2;47.4;46.2;0.0;0.0;0.0;1.0
2329;13;2014;1;24;65.5;78.2;64.7;58.2;53.2;50.3;1.0;0.0;0.0;0.0
2330;13;2014;1;24;59.4;65.3;61.1;57.3;53.7;51.0;0.0;1.0;0.0;0.0
2331;13;2014;1;24;51.2;60.5;54.2;47.9;46.3;46.0;0.0;0.0;1.0;0.0
2332;13;2014;1;24;62.9;77.3;62.2;55.9;47.0;46.1;0.0;0.0;0.0;1.0
2429;13;2014;1;25;64.9;64.6;60.6;56.1;50.7;48.4;1.0;0.0;0.0;0.0
2430;13;2014;1;25;58.4;65.5;61.2;57.1;52.8;49.8;0.0;1.0;0.0;0.0
2431;13;2014;1;25;52.5;60.8;55.8;49.1;47.3;46.9;0.0;0.0;1.0;0.0
2432;13;2014;1;25;62.4;64.1;60.0;54.6;48.0;47.1;0.0;0.0;0.0;1.0
2529;13;2014;1;26;57.4;64.8;59.7;54.4;49.0;47.3;1.0;0.0;0.0;0.0
2530;13;2014;1;26;57.7;65.3;60.8;56.0;51.2;49.3;0.0;1.0;0.0;0.0
2531;13;2014;1;26;52.8;61.4;56.4;49.3;47.3;47.0;0.0;0.0;1.0;0.0
2532;13;2014;1;26;56.3;64.1;59.3;53.1;47.9;47.1;0.0;0.0;0.0;1.0
2629;13;2014;1;27;59.7;66.7;61.6;57.6;53.5;50.9;1.0;0.0;0.0;0.0
2630;13;2014;1;27;57.4;64.3;60.0;55.6;50.7;48.7;0.0;1.0;0.0;0.0
2631;13;2014;1;27;51.3;59.6;54.5;48.6;47.2;46.8;0.0;0.0;1.0;0.0
2632;13;2014;1;27;57.9;65.0;60.5;55.1;47.7;47.0;0.0;0.0;0.0;1.0
2729;13;2014;1;28;59.1;66.7;61.8;57.6;53.2;50.1;1.0;0.0;0.0;0.0
2730;13;2014;1;28;57.2;64.1;60.3;55.8;50.5;48.1;0.0;1.0;0.0;0.0
2731;13;2014;1;28;53.5;62.0;53.6;47.8;46.3;46.0;0.0;0.0;1.0;0.0
2732;13;2014;1;28;57.5;65.8;60.8;55.1;47.1;46.1;0.0;0.0;0.0;1.0
2829;13;2014;1;29;59.3;67.6;61.9;57.5;53.0;50.2;1.0;0.0;0.0;0.0
2830;13;2014;1;29;59.1;68.7;61.7;56.5;50.9;48.0;0.0;1.0;0.0;0.0
2831;13;2014;1;29;50.5;60.0;53.4;47.2;45.9;45.1;0.0;0.0;1.0;0.0
2832;13;2014;1;29;57.8;66.5;61.0;55.1;46.5;45.3;0.0;0.0;0.0;1.0
2929;13;2014;1;30;60.6;66.6;61.7;57.2;52.8;50.3;1.0;0.0;0.0;0.0
2930;13;2014;1;30;57.4;63.8;60.4;56.2;51.3;48.8;0.0;1.0;0.0;0.0
2931;13;2014;1;30;51.0;60.0;53.8;47.7;46.0;45.1;0.0;0.0;1.0;0.0
2932;13;2014;1;30;58.5;65.1;60.6;55.0;46.7;45.3;0.0;0.0;0.0;1.0
3029;13;2014;1;31;59.6;68.0;61.5;56.8;52.2;49.5;1.0;0.0;0.0;0.0
3030;13;2014;1;31;65.5;64.8;60.7;56.7;52.7;50.3;0.0;1.0;0.0;0.0
3031;13;2014;1;31;51.5;60.2;54.2;47.9;46.4;46.0;0.0;0.0;1.0;0.0
3032;13;2014;1;31;60.4;66.0;60.5;54.9;47.2;46.1;0.0;0.0;0.0;1.0
