ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
73;30;2014;1;1;55.6;64.7;59.2;51.9;45.9;43.5;1.0;0.0;0.0;0.0
74;30;2014;1;1;55.6;63.7;58.8;53.3;50.5;48.9;0.0;1.0;0.0;0.0
75;30;2014;1;1;57.8;68.2;59.6;49.6;44.3;40.4;0.0;0.0;1.0;0.0
76;30;2014;1;1;56.5;65.8;59.3;51.9;46.0;43.6;0.0;0.0;0.0;1.0
173;30;2014;1;2;63.9;70.0;66.7;62.7;58.6;56.4;1.0;0.0;0.0;0.0
174;30;2014;1;2;60.7;68.0;64.2;58.5;53.3;51.3;0.0;1.0;0.0;0.0
175;30;2014;1;2;54.7;66.0;57.9;48.9;44.5;42.4;0.0;0.0;1.0;0.0
176;30;2014;1;2;61.8;69.3;65.6;59.7;46.9;43.3;0.0;0.0;0.0;1.0
273;30;2014;1;3;61.7;67.5;64.3;60.7;56.8;54.2;1.0;0.0;0.0;0.0
274;30;2014;1;3;61.4;68.7;65.2;58.9;54.0;52.2;0.0;1.0;0.0;0.0
275;30;2014;1;3;54.4;63.7;57.4;50.8;47.6;45.5;0.0;0.0;1.0;0.0
276;30;2014;1;3;60.3;67.5;63.8;58.5;49.5;46.4;0.0;0.0;0.0;1.0
373;30;2014;1;4;61.4;69.5;64.8;59.0;52.1;49.1;1.0;0.0;0.0;0.0
374;30;2014;1;4;58.3;65.4;61.9;56.0;50.8;48.4;0.0;1.0;0.0;0.0
375;30;2014;1;4;55.3;65.8;58.0;50.8;47.2;45.2;0.0;0.0;1.0;0.0
376;30;2014;1;4;59.6;68.5;63.3;55.8;48.6;46.0;0.0;0.0;0.0;1.0
473;30;2014;1;5;58.2;65.6;61.7;55.7;49.0;45.4;1.0;0.0;0.0;0.0
474;30;2014;1;5;57.6;65.9;61.2;54.3;48.8;47.1;0.0;1.0;0.0;0.0
475;30;2014;1;5;50.4;61.0;52.8;45.8;42.6;41.1;0.0;0.0;1.0;0.0
476;30;2014;1;5;56.6;65.0;60.7;52.7;44.3;41.6;0.0;0.0;0.0;1.0
573;30;2014;1;6;56.0;64.2;59.7;52.7;47.0;44.5;1.0;0.0;0.0;0.0
574;30;2014;1;6;55.1;63.5;58.3;51.1;47.0;44.0;0.0;1.0;0.0;0.0
575;30;2014;1;6;52.0;62.8;54.9;46.8;42.9;41.2;0.0;0.0;1.0;0.0
