ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
77;31;2014;1;1;60.1;72.4;62.0;51.7;45.4;42.5;1.0;0.0;0.0;0.0
78;31;2014;1;1;60.9;72.2;64.3;54.9;53.1;51.3;0.0;1.0;0.0;0.0
79;31;2014;1;1;63.5;72.3;61.5;49.6;45.2;42.1;0.0;0.0;1.0;0.0
80;31;2014;1;1;61.5;72.3;62.3;52.6;46.1;43.2;0.0;0.0;0.0;1.0
177;31;2014;1;2;68.3;75.9;72.9;64.1;56.0;54.1;1.0;0.0;0.0;0.0
178;31;2014;1;2;68.3;75.0;72.4;66.1;55.9;52.8;0.0;1.0;0.0;0.0
179;31;2014;1;2;53.9;65.5;54.2;48.7;44.7;43.0;0.0;0.0;1.0;0.0
180;31;2014;1;2;66.6;75.5;71.9;58.9;46.7;43.6;0.0;0.0;0.0;1.0
277;31;2014;1;3;67.8;75.6;72.3;64.1;57.0;55.3;1.0;0.0;0.0;0.0
278;31;2014;1;3;69.9;76.8;74.3;67.1;55.2;50.1;0.0;1.0;0.0;0.0
279;31;2014;1;3;54.8;66.3;55.1;51.1;47.4;45.4;0.0;0.0;1.0;0.0
280;31;2014;1;3;66.8;75.7;72.0;58.9;49.3;46.3;0.0;0.0;0.0;1.0
377;31;2014;1;4;68.6;76.7;73.2;64.3;52.3;50.0;1.0;0.0;0.0;0.0
378;31;2014;1;4;67.1;74.5;71.4;64.0;57.6;54.0;0.0;1.0;0.0;0.0
379;31;2014;1;4;56.3;69.6;54.6;50.1;47.5;45.8;0.0;0.0;1.0;0.0
380;31;2014;1;4;66.6;75.9;71.7;60.0;48.9;46.5;0.0;0.0;0.0;1.0
477;31;2014;1;5;66.1;74.7;71.0;60.3;50.7;48.4;1.0;0.0;0.0;0.0
478;31;2014;1;5;67.0;75.1;71.6;62.7;55.2;51.8;0.0;1.0;0.0;0.0
479;31;2014;1;5;54.2;67.6;53.6;48.1;43.3;40.7;0.0;0.0;1.0;0.0
480;31;2014;1;5;64.9;74.4;70.2;56.9;45.8;41.7;0.0;0.0;0.0;1.0
577;31;2014;1;6;60.2;71.5;63.3;52.4;46.9;43.6;1.0;0.0;0.0;0.0
578;31;2014;1;6;59.5;71.1;63.2;51.5;47.4;45.3;0.0;1.0;0.0;0.0
579;31;2014;1;6;59.6;73.0;60.1;47.2;41.0;39.5;0.0;0.0;1.0;0.0
580;31;2014;1;6;59.4;71.5;61.8;50.6;43.7;40.1;0.0;0.0;0.0;1.0
677;31;2014;1;7;65.5;73.5;70.0;61.2;50.8;46.9;1.0;0.0;0.0;0.0
678;31;2014;1;7;66.1;73.6;70.4;63.0;53.4;49.4;0.0;1.0;0.0;0.0
679;31;2014;1;7;51.9;64.7;49.6;42.3;38.5;37.2;0.0;0.0;1.0;0.0
680;31;2014;1;7;64.0;73.0;69.2;55.8;40.3;37.6;0.0;0.0;0.0;1.0
777;31;2014;1;8;65.3;73.5;69.9;60.9;54.2;50.4;1.0;0.0;0.0;0.0
778;31;2014;1;8;65.9;73.5;70.3;62.1;54.2;50.5;0.0;1.0;0.0;0.0
779;31;2014;1;8;52.2;64.3;52.7;45.8;39.8;38.0;0.0;0.0;1.0;0.0
780;31;2014;1;8;63.8;73.0;69.0;57.1;42.7;38.6;0.0;0.0;0.0;1.0
877;31;2014;1;9;65.2;73.5;69.7;60.7;54.3;50.3;1.0;0.0;0.0;0.0
878;31;2014;1;9;65.1;73.0;69.6;61.3;55.0;51.6;0.0;1.0;0.0;0.0
879;31;2014;1;9;52.9;64.5;53.9;48.3;42.2;39.5;0.0;0.0;1.0;0.0
880;31;2014;1;9;63.5;72.9;68.6;57.5;45.7;40.5;0.0;0.0;0.0;1.0
977;31;2014;1;10;65.2;73.4;69.8;60.8;54.4;51.0;1.0;0.0;0.0;0.0
978;31;2014;1;10;65.4;72.9;69.8;61.9;51.1;44.1;0.0;1.0;0.0;0.0
979;31;2014;1;10;54.3;66.7;54.9;48.9;44.3;41.3;0.0;0.0;1.0;0.0
980;31;2014;1;10;63.7;72.9;68.8;57.6;46.0;42.1;0.0;0.0;0.0;1.0
1077;31;2014;1;11;64.6;73.4;69.7;57.6;48.9;45.7;1.0;0.0;0.0;0.0
1078;31;2014;1;11;66.0;73.9;70.3;61.8;54.3;49.3;0.0;1.0;0.0;0.0
1079;31;2014;1;11;53.8;67.9;50.9;42.1;39.0;37.7;0.0;0.0;1.0;0.0
1080;31;2014;1;11;63.4;73.1;68.8;54.2;40.4;38.2;0.0;0.0;0.0;1.0
1177;31;2014;1;12;64.3;73.8;69.7;55.5;44.7;42.0;1.0;0.0;0.0;0.0
1178;31;2014;1;12;64.4;73.4;69.7;56.9;47.0;43.1;0.0;1.0;0.0;0.0
1179;31;2014;1;12;54.4;68.1;52.6;46.9;43.8;42.2;0.0;0.0;1.0;0.0
1180;31;2014;1;12;62.8;73.3;68.2;51.7;44.3;42.1;0.0;0.0;0.0;1.0
1277;31;2014;1;13;65.3;73.8;69.9;60.5;56.5;54.3;1.0;0.0;0.0;0.0
1278;31;2014;1;13;65.0;73.0;69.7;60.4;53.8;51.2;0.0;1.0;0.0;0.0
1279;31;2014;1;13;53.4;66.8;52.1;45.1;41.2;39.0;0.0;0.0;1.0;0.0
1280;31;2014;1;13;63.6;73.1;68.7;57.8;43.1;39.8;0.0;0.0;0.0;1.0
1377;31;2014;1;14;65.2;73.8;69.8;59.9;56.3;54.3;1.0;0.0;0.0;0.0
1378;31;2014;1;14;65.0;73.0;69.6;60.8;54.8;51.5;0.0;1.0;0.0;0.0
1379;31;2014;1;14;53.2;64.8;53.1;47.7;43.3;41.2;0.0;0.0;1.0;0.0
1380;31;2014;1;14;63.5;73.2;68.5;57.6;45.8;42.0;0.0;0.0;0.0;1.0
1477;31;2014;1;15;64.8;73.4;69.6;59.2;53.9;51.7;1.0;0.0;0.0;0.0
1478;31;2014;1;15;64.7;73.1;69.5;59.8;52.2;48.3;0.0;1.0;0.0;0.0
1479;31;2014;1;15;54.3;64.6;52.9;47.5;44.0;42.2;0.0;0.0;1.0;0.0
1480;31;2014;1;15;63.2;72.9;68.3;56.0;45.6;43.0;0.0;0.0;0.0;1.0
1577;31;2014;1;16;65.4;74.0;70.0;60.2;56.1;54.3;1.0;0.0;0.0;0.0
1578;31;2014;1;16;65.3;73.2;69.9;60.9;54.4;51.5;0.0;1.0;0.0;0.0
1579;31;2014;1;16;54.8;67.5;55.3;45.7;42.7;41.4;0.0;0.0;1.0;0.0
1580;31;2014;1;16;63.8;73.5;68.8;57.4;44.3;42.1;0.0;0.0;0.0;1.0
1677;31;2014;1;17;65.7;74.0;70.4;60.7;52.2;49.9;1.0;0.0;0.0;0.0
1678;31;2014;1;17;67.5;75.1;72.0;63.4;52.5;48.2;0.0;1.0;0.0;0.0
1679;31;2014;1;17;53.1;65.3;52.1;46.9;43.0;41.2;0.0;0.0;1.0;0.0
1680;31;2014;1;17;64.6;74.0;69.8;56.0;44.9;41.9;0.0;0.0;0.0;1.0
1777;31;2014;1;18;66.8;75.6;71.9;60.2;50.8;47.9;1.0;0.0;0.0;0.0
1778;31;2014;1;18;68.3;75.9;72.8;64.7;55.9;53.2;0.0;1.0;0.0;0.0
1779;31;2014;1;18;57.0;71.2;54.0;46.8;43.6;42.2;0.0;0.0;1.0;0.0
1780;31;2014;1;18;65.7;75.3;71.1;56.7;45.2;42.8;0.0;0.0;0.0;1.0
1877;31;2014;1;19;66.3;75.7;71.5;59.2;45.3;42.4;1.0;0.0;0.0;0.0
