ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
1;3;2014;1;1;57.4;66.6;61.1;54.3;49.1;45.0;1.0;0.0;0.0;0.0;1
2;3;2014;1;1;58.7;66.6;62.0;56.0;52.1;48.5;0.0;1.0;0.0;0.0;0
3;3;2014;1;1;65.9;72.5;66.1;60.9;56.2;52.1;0.0;0.0;1.0;0.0;0
4;3;2014;1;1;62.2;69.3;63.8;56.5;50.3;45.8;0.0;0.0;0.0;1.0;2
101;3;2014;1;2;62.1;69.6;64.9;59.5;55.0;50.3;1.0;0.0;0.0;0.0;0
102;3;2014;1;2;66.0;69.1;63.9;58.9;54.6;51.9;0.0;1.0;0.0;0.0;0
103;3;2014;1;2;61.8;69.0;60.8;53.3;48.5;45.3;0.0;0.0;1.0;0.0;1
104;3;2014;1;2;63.0;69.5;64.1;58.0;51.5;46.8;0.0;0.0;0.0;1.0;2
201;3;2014;1;3;62.0;70.3;64.9;59.6;54.4;49.6;1.0;0.0;0.0;0.0;0
202;3;2014;1;3;62.3;69.4;65.1;60.6;56.6;54.1;0.0;1.0;0.0;0.0;0
203;3;2014;1;3;58.6;67.7;61.5;55.6;51.1;47.8;0.0;0.0;1.0;0.0;1
204;3;2014;1;3;61.3;69.6;64.4;58.6;53.0;48.9;0.0;0.0;0.0;1.0;2
301;3;2014;1;4;61.7;69.2;64.9;59.8;54.8;50.4;1.0;0.0;0.0;0.0;0
302;3;2014;1;4;61.8;67.8;63.6;59.2;55.7;52.8;0.0;1.0;0.0;0.0;0
303;3;2014;1;4;60.1;68.1;63.2;57.8;53.3;49.5;0.0;0.0;1.0;0.0;0
304;3;2014;1;4;61.2;68.7;64.2;59.0;54.1;50.1;0.0;0.0;0.0;1.0;2
401;3;2014;1;5;59.9;67.6;63.0;57.9;52.6;47.7;1.0;0.0;0.0;0.0;0
402;3;2014;1;5;59.9;67.5;62.8;57.6;54.6;53.0;0.0;1.0;0.0;0.0;0
403;3;2014;1;5;60.7;69.2;63.7;58.2;53.6;50.5;0.0;0.0;1.0;0.0;0
404;3;2014;1;5;60.3;68.1;63.2;58.0;53.7;48.8;0.0;0.0;0.0;1.0;2
501;3;2014;1;6;58.1;66.7;61.2;54.6;49.7;45.0;1.0;0.0;0.0;0.0;1
502;3;2014;1;6;59.0;66.5;61.7;55.8;52.1;48.8;0.0;1.0;0.0;0.0;0
503;3;2014;1;6;60.2;68.5;62.7;57.3;53.6;50.8;0.0;0.0;1.0;0.0;0
504;3;2014;1;6;58.8;67.2;61.8;55.7;50.8;46.0;0.0;0.0;0.0;1.0;2
601;3;2014;1;7;63.0;72.1;66.2;60.1;54.3;49.0;1.0;0.0;0.0;0.0;0
602;3;2014;1;7;60.7;69.6;63.5;57.7;53.0;49.4;0.0;1.0;0.0;0.0;0
603;3;2014;1;7;55.7;66.1;58.4;51.7;46.9;44.0;0.0;0.0;1.0;0.0;1
604;3;2014;1;7;61.2;71.0;64.6;57.3;49.4;45.1;0.0;0.0;0.0;1.0;2
701;3;2014;1;8;61.8;70.9;64.8;58.7;53.4;49.5;1.0;0.0;0.0;0.0;0
702;3;2014;1;8;60.2;67.8;62.8;57.4;53.4;50.4;0.0;1.0;0.0;0.0;0
703;3;2014;1;8;56.5;66.2;59.8;52.1;47.5;44.7;0.0;0.0;1.0;0.0;1
704;3;2014;1;8;60.3;69.6;63.5;56.6;49.9;45.8;0.0;0.0;0.0;1.0;2
801;3;2014;1;9;60.9;69.7;64.2;58.2;53.4;49.9;1.0;0.0;0.0;0.0;0
802;3;2014;1;9;60.4;69.3;63.6;57.7;53.1;50.1;0.0;1.0;0.0;0.0;0
803;3;2014;1;9;56.9;66.2;60.1;53.3;48.9;45.9;0.0;0.0;1.0;0.0;1
804;3;2014;1;9;59.8;68.9;63.4;56.7;51.0;47.0;0.0;0.0;0.0;1.0;2
901;3;2014;1;10;61.0;70.3;63.9;57.8;53.7;51.0;1.0;0.0;0.0;0.0;0
902;3;2014;1;10;62.3;68.9;63.7;58.8;54.9;52.5;0.0;1.0;0.0;0.0;0
903;3;2014;1;10;59.2;67.6;61.2;55.1;50.4;46.8;0.0;0.0;1.0;0.0;1
904;3;2014;1;10;60.8;69.5;63.2;57.3;52.6;48.7;0.0;0.0;0.0;1.0;2
1001;3;2014;1;11;60.3;68.5;63.4;58.2;53.3;49.1;1.0;0.0;0.0;0.0;0
