ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
97;86;2014;1;1;55.5;66.1;59.2;50.1;41.3;37.8;1.0;0.0;0.0;0.0
98;86;2014;1;1;57.3;66.4;60.1;52.7;48.3;45.8;0.0;1.0;0.0;0.0
99;86;2014;1;1;65.2;75.2;60.7;48.8;40.8;37.6;0.0;0.0;1.0;0.0
100;86;2014;1;1;61.0;68.3;59.9;50.5;42.1;38.2;0.0;0.0;0.0;1.0
197;86;2014;1;2;59.9;68.7;63.5;57.2;52.4;50.0;1.0;0.0;0.0;0.0
198;86;2014;1;2;64.1;67.5;62.5;55.5;50.2;46.5;0.0;1.0;0.0;0.0
199;86;2014;1;2;50.7;62.9;52.7;43.5;39.0;37.4;0.0;0.0;1.0;0.0
200;86;2014;1;2;59.8;67.8;62.1;54.3;41.2;38.1;0.0;0.0;0.0;1.0
297;86;2014;1;3;59.4;68.1;63.0;56.3;51.9;49.6;1.0;0.0;0.0;0.0
298;86;2014;1;3;59.9;69.3;63.9;56.0;48.2;45.0;0.0;1.0;0.0;0.0
299;86;2014;1;3;51.1;62.6;53.6;45.3;40.8;39.0;0.0;0.0;1.0;0.0
300;86;2014;1;3;58.1;67.8;62.0;54.0;43.1;39.6;0.0;0.0;0.0;1.0
397;86;2014;1;4;59.3;68.8;62.7;55.9;48.7;45.0;1.0;0.0;0.0;0.0
398;86;2014;1;4;63.7;67.3;60.7;54.0;49.4;45.9;0.0;1.0;0.0;0.0
399;86;2014;1;4;51.5;63.0;53.5;45.5;41.8;39.7;0.0;0.0;1.0;0.0
400;86;2014;1;4;59.3;67.6;61.1;52.8;43.7;40.5;0.0;0.0;0.0;1.0
497;86;2014;1;5;57.0;66.7;60.6;52.9;46.3;41.5;1.0;0.0;0.0;0.0
498;86;2014;1;5;56.9;66.5;60.8;53.0;46.4;39.7;0.0;1.0;0.0;0.0
499;86;2014;1;5;50.5;62.8;52.8;43.8;37.9;36.2;0.0;0.0;1.0;0.0
500;86;2014;1;5;55.7;66.1;59.5;50.5;40.4;36.9;0.0;0.0;0.0;1.0
597;86;2014;1;6;56.3;66.3;59.9;51.8;44.6;40.4;1.0;0.0;0.0;0.0
598;86;2014;1;6;56.8;66.2;60.2;51.6;44.7;40.8;0.0;1.0;0.0;0.0
599;86;2014;1;6;51.7;64.0;54.1;42.3;37.0;36.0;0.0;0.0;1.0;0.0
600;86;2014;1;6;55.2;65.8;58.8;49.3;39.1;36.3;0.0;0.0;0.0;1.0
697;86;2014;1;7;58.1;66.9;62.0;54.9;47.6;42.1;1.0;0.0;0.0;0.0
698;86;2014;1;7;56.5;65.9;60.5;52.6;44.2;42.0;0.0;1.0;0.0;0.0
699;86;2014;1;7;49.1;61.7;51.4;39.2;35.7;35.1;0.0;0.0;1.0;0.0
700;86;2014;1;7;56.3;66.1;60.5;51.2;36.8;35.2;0.0;0.0;0.0;1.0
797;86;2014;1;8;59.6;67.8;62.8;56.2;48.9;44.6;1.0;0.0;0.0;0.0
798;86;2014;1;8;56.8;66.1;60.9;53.1;46.5;42.8;0.0;1.0;0.0;0.0
799;86;2014;1;8;48.9;61.3;50.6;39.7;36.8;36.1;0.0;0.0;1.0;0.0
800;86;2014;1;8;57.5;66.8;61.3;52.3;38.0;36.2;0.0;0.0;0.0;1.0
