ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
25;12;2014;1;1;68.8;71.0;64.6;60.2;55.9;53.0;1.0;0.0;0.0;0.0
26;12;2014;1;1;66.0;68.4;64.4;61.3;58.0;55.6;0.0;1.0;0.0;0.0
27;12;2014;1;1;75.4;84.1;65.3;59.4;53.6;48.1;0.0;0.0;1.0;0.0
28;12;2014;1;1;72.0;78.1;64.7;60.3;55.7;52.6;0.0;0.0;0.0;1.0
125;12;2014;1;2;66.5;73.9;67.0;64.4;61.4;59.3;1.0;0.0;0.0;0.0
126;12;2014;1;2;65.2;74.0;66.1;63.2;59.8;57.3;0.0;1.0;0.0;0.0
127;12;2014;1;2;58.1;65.6;61.8;55.4;47.9;41.6;0.0;0.0;1.0;0.0
128;12;2014;1;2;64.8;71.7;66.4;62.7;52.3;44.1;0.0;0.0;0.0;1.0
225;12;2014;1;3;64.8;70.2;66.2;63.5;60.6;58.6;1.0;0.0;0.0;0.0
226;12;2014;1;3;65.4;71.7;66.6;63.9;60.9;58.3;0.0;1.0;0.0;0.0
227;12;2014;1;3;59.4;65.9;62.0;56.8;51.4;47.6;0.0;0.0;1.0;0.0
228;12;2014;1;3;63.8;69.7;65.9;62.4;54.4;49.1;0.0;0.0;0.0;1.0
325;12;2014;1;4;65.5;75.2;66.9;62.9;58.8;55.6;1.0;0.0;0.0;0.0
326;12;2014;1;4;65.4;73.2;65.0;62.2;59.3;56.6;0.0;1.0;0.0;0.0
327;12;2014;1;4;62.0;67.0;63.5;59.0;54.4;51.6;0.0;0.0;1.0;0.0
328;12;2014;1;4;64.6;73.2;65.9;61.7;56.5;52.7;0.0;0.0;0.0;1.0
425;12;2014;1;5;66.3;73.1;64.7;61.1;57.0;53.2;1.0;0.0;0.0;0.0
426;12;2014;1;5;67.3;77.0;65.6;62.5;59.4;57.3;0.0;1.0;0.0;0.0
427;12;2014;1;5;59.4;65.8;62.2;57.7;52.8;49.2;0.0;0.0;1.0;0.0
428;12;2014;1;5;65.2;71.6;64.5;60.5;55.1;50.7;0.0;0.0;0.0;1.0
525;12;2014;1;6;63.5;69.8;64.9;61.2;56.5;53.0;1.0;0.0;0.0;0.0
526;12;2014;1;6;65.4;73.7;64.6;61.6;58.3;55.5;0.0;1.0;0.0;0.0
527;12;2014;1;6;60.8;65.8;62.7;57.9;52.7;48.5;0.0;0.0;1.0;0.0
528;12;2014;1;6;63.3;69.5;64.4;60.2;54.9;50.3;0.0;0.0;0.0;1.0
625;12;2014;1;7;65.4;72.2;65.8;63.0;59.8;57.6;1.0;0.0;0.0;0.0
626;12;2014;1;7;66.6;73.3;64.9;61.8;58.3;55.2;0.0;1.0;0.0;0.0
627;12;2014;1;7;59.1;66.7;61.0;55.0;47.2;40.5;0.0;0.0;1.0;0.0
628;12;2014;1;7;64.4;70.9;65.1;61.2;51.7;43.6;0.0;0.0;0.0;1.0
725;12;2014;1;8;65.0;72.5;66.1;63.1;60.0;57.5;1.0;0.0;0.0;0.0
726;12;2014;1;8;63.8;71.0;64.9;62.0;58.5;55.2;0.0;1.0;0.0;0.0
727;12;2014;1;8;58.4;65.9;60.9;55.4;49.1;44.6;0.0;0.0;1.0;0.0
728;12;2014;1;8;63.5;71.0;65.4;61.4;52.8;46.3;0.0;0.0;0.0;1.0
825;12;2014;1;9;66.5;76.7;66.7;63.2;59.9;57.6;1.0;0.0;0.0;0.0
826;12;2014;1;9;63.3;70.6;64.7;61.7;58.3;55.8;0.0;1.0;0.0;0.0
827;12;2014;1;9;59.0;66.1;61.1;55.9;49.8;45.1;0.0;0.0;1.0;0.0
828;12;2014;1;9;64.5;74.0;65.6;61.4;53.5;47.0;0.0;0.0;0.0;1.0
925;12;2014;1;10;65.7;74.1;66.1;62.9;59.9;57.5;1.0;0.0;0.0;0.0
926;12;2014;1;10;65.3;72.5;65.8;62.5;59.3;57.1;0.0;1.0;0.0;0.0
927;12;2014;1;10;57.6;64.8;61.1;55.6;49.3;45.3;0.0;0.0;1.0;0.0
928;12;2014;1;10;64.2;72.4;65.4;61.5;52.9;47.0;0.0;0.0;0.0;1.0
1025;12;2014;1;11;63.8;72.2;65.5;62.0;58.0;53.5;1.0;0.0;0.0;0.0
1026;12;2014;1;11;65.1;70.6;65.6;62.3;58.9;56.9;0.0;1.0;0.0;0.0
1027;12;2014;1;11;60.1;65.9;62.1;57.6;52.6;48.4;0.0;0.0;1.0;0.0
1028;12;2014;1;11;63.3;70.9;64.9;60.9;55.1;50.2;0.0;0.0;0.0;1.0
1125;12;2014;1;12;63.9;68.3;64.1;60.6;56.4;52.5;1.0;0.0;0.0;0.0
1126;12;2014;1;12;63.1;69.8;64.2;61.0;57.6;55.1;0.0;1.0;0.0;0.0
1127;12;2014;1;12;61.0;66.6;62.7;58.2;53.2;49.8;0.0;0.0;1.0;0.0
1128;12;2014;1;12;63.0;68.0;63.8;59.9;55.1;50.9;0.0;0.0;0.0;1.0
1225;12;2014;1;13;65.0;70.8;66.2;63.4;60.4;58.2;1.0;0.0;0.0;0.0
1226;12;2014;1;13;63.4;69.8;64.8;61.8;58.6;55.9;0.0;1.0;0.0;0.0
1227;12;2014;1;13;58.5;65.5;61.9;55.9;49.3;45.3;0.0;0.0;1.0;0.0
1228;12;2014;1;13;63.3;69.6;65.4;61.7;53.2;46.9;0.0;0.0;0.0;1.0
1325;12;2014;1;14;66.8;73.3;66.8;63.9;60.9;58.6;1.0;0.0;0.0;0.0
1326;12;2014;1;14;63.4;70.0;64.8;61.9;59.0;56.5;0.0;1.0;0.0;0.0
1327;12;2014;1;14;57.5;64.9;60.7;54.7;48.6;44.2;0.0;0.0;1.0;0.0
1328;12;2014;1;14;64.7;70.9;65.8;61.9;52.2;46.0;0.0;0.0;0.0;1.0
1425;12;2014;1;15;64.9;71.4;66.3;63.5;60.4;58.1;1.0;0.0;0.0;0.0
1426;12;2014;1;15;64.9;73.6;65.3;62.5;59.3;56.7;0.0;1.0;0.0;0.0
1427;12;2014;1;15;57.6;65.6;60.9;54.7;48.3;44.1;0.0;0.0;1.0;0.0
1428;12;2014;1;15;63.5;70.5;65.6;61.8;52.0;45.8;0.0;0.0;0.0;1.0
1525;12;2014;1;16;66.9;76.0;66.8;63.8;60.9;58.8;1.0;0.0;0.0;0.0
1526;12;2014;1;16;65.8;73.0;65.4;62.4;59.3;56.6;0.0;1.0;0.0;0.0
1527;12;2014;1;16;59.0;65.9;62.0;56.7;51.3;46.6;0.0;0.0;1.0;0.0
1528;12;2014;1;16;65.2;72.9;65.9;62.2;54.5;48.7;0.0;0.0;0.0;1.0
1625;12;2014;1;17;65.7;73.3;66.2;63.4;60.6;58.6;1.0;0.0;0.0;0.0
1626;12;2014;1;17;65.5;72.3;66.0;63.1;60.2;58.2;0.0;1.0;0.0;0.0
1627;12;2014;1;17;59.9;66.5;61.9;56.4;50.4;46.3;0.0;0.0;1.0;0.0
1628;12;2014;1;17;64.6;71.8;65.7;62.2;53.8;48.0;0.0;0.0;0.0;1.0
1725;12;2014;1;18;64.9;71.5;65.4;62.0;58.3;55.2;1.0;0.0;0.0;0.0
1726;12;2014;1;18;65.8;72.6;65.9;62.9;59.6;57.2;0.0;1.0;0.0;0.0
1727;12;2014;1;18;62.1;67.5;64.4;60.3;55.5;51.9;0.0;0.0;1.0;0.0
1728;12;2014;1;18;64.2;70.3;65.2;61.6;57.3;53.3;0.0;0.0;0.0;1.0
1825;12;2014;1;19;62.5;67.7;64.8;61.3;57.0;52.4;1.0;0.0;0.0;0.0
1826;12;2014;1;19;65.6;72.9;64.4;61.2;57.7;55.2;0.0;1.0;0.0;0.0
1827;12;2014;1;19;60.8;66.6;63.0;58.6;53.5;49.9;0.0;0.0;1.0;0.0
1828;12;2014;1;19;62.7;67.9;64.4;60.5;55.4;51.0;0.0;0.0;0.0;1.0
1925;12;2014;1;20;65.2;72.0;66.0;63.1;60.1;58.0;1.0;0.0;0.0;0.0
1926;12;2014;1;20;64.2;72.4;65.1;62.0;58.5;55.8;0.0;1.0;0.0;0.0
1927;12;2014;1;20;57.6;65.4;61.0;54.9;47.8;43.1;0.0;0.0;1.0;0.0
1928;12;2014;1;20;63.6;70.4;65.3;61.4;52.0;45.0;0.0;0.0;0.0;1.0
2025;12;2014;1;21;67.3;76.4;66.6;63.4;60.4;58.3;1.0;0.0;0.0;0.0
2026;12;2014;1;21;64.7;70.5;66.3;63.3;60.3;58.0;0.0;1.0;0.0;0.0
2027;12;2014;1;21;58.0;64.8;60.7;54.8;48.0;43.5;0.0;0.0;1.0;0.0
2028;12;2014;1;21;65.4;73.2;65.8;62.1;52.0;45.1;0.0;0.0;0.0;1.0
2125;12;2014;1;22;66.2;72.9;66.2;63.4;60.2;58.1;1.0;0.0;0.0;0.0
2126;12;2014;1;22;65.7;71.0;65.5;62.4;59.0;56.3;0.0;1.0;0.0;0.0
2127;12;2014;1;22;59.4;66.1;63.0;56.8;49.9;44.7;0.0;0.0;1.0;0.0
2128;12;2014;1;22;64.7;70.5;65.6;61.8;53.8;47.1;0.0;0.0;0.0;1.0
2225;12;2014;1;23;65.9;73.7;66.3;63.2;60.1;58.0;1.0;0.0;0.0;0.0
2226;12;2014;1;23;65.2;72.8;65.3;62.3;59.0;56.6;0.0;1.0;0.0;0.0
2227;12;2014;1;23;58.3;65.4;61.6;55.7;49.4;46.0;0.0;0.0;1.0;0.0
2228;12;2014;1;23;64.3;71.8;65.5;61.7;53.0;47.3;0.0;0.0;0.0;1.0
2325;12;2014;1;24;65.6;74.1;66.2;63.3;60.3;58.1;1.0;0.0;0.0;0.0
2326;12;2014;1;24;64.8;71.4;66.4;63.3;60.3;57.8;0.0;1.0;0.0;0.0
2327;12;2014;1;24;58.5;65.6;61.9;56.3;50.0;45.7;0.0;0.0;1.0;0.0
2328;12;2014;1;24;64.1;71.7;65.7;62.0;53.7;47.5;0.0;0.0;0.0;1.0
2425;12;2014;1;25;64.8;72.8;65.6;62.0;57.9;54.3;1.0;0.0;0.0;0.0
2426;12;2014;1;25;67.0;76.6;68.1;62.9;59.0;56.7;0.0;1.0;0.0;0.0
2427;12;2014;1;25;59.9;66.8;62.5;58.3;53.6;50.2;0.0;0.0;1.0;0.0
2428;12;2014;1;25;64.3;72.8;65.4;61.0;55.8;51.5;0.0;0.0;0.0;1.0
2525;12;2014;1;26;63.4;70.1;64.4;60.9;56.9;53.6;1.0;0.0;0.0;0.0
2526;12;2014;1;26;62.5;70.1;64.1;61.1;57.9;55.5;0.0;1.0;0.0;0.0
2527;12;2014;1;26;60.2;66.1;62.7;58.4;53.5;50.2;0.0;0.0;1.0;0.0
2528;12;2014;1;26;62.4;69.0;63.9;60.2;55.4;51.3;0.0;0.0;0.0;1.0
2625;12;2014;1;27;65.4;72.1;65.9;63.2;60.3;58.0;1.0;0.0;0.0;0.0
2626;12;2014;1;27;63.3;69.8;65.1;62.1;58.6;55.7;0.0;1.0;0.0;0.0
2627;12;2014;1;27;57.2;64.1;60.6;54.9;47.7;43.2;0.0;0.0;1.0;0.0
2628;12;2014;1;27;63.6;70.3;65.2;61.5;51.9;45.0;0.0;0.0;0.0;1.0
2725;12;2014;1;28;66.0;72.8;66.2;63.6;60.8;58.6;1.0;0.0;0.0;0.0
2726;12;2014;1;28;64.3;70.5;65.1;62.3;59.4;57.4;0.0;1.0;0.0;0.0
2727;12;2014;1;28;58.3;65.8;60.6;54.4;47.8;43.5;0.0;0.0;1.0;0.0
2728;12;2014;1;28;64.3;70.7;65.6;62.0;51.6;45.3;0.0;0.0;0.0;1.0
2825;12;2014;1;29;66.7;74.8;66.0;63.1;60.1;57.8;1.0;0.0;0.0;0.0
2826;12;2014;1;29;64.0;73.3;65.1;62.0;58.7;55.8;0.0;1.0;0.0;0.0
2827;12;2014;1;29;58.6;65.8;61.7;56.2;48.5;44.4;0.0;0.0;1.0;0.0
2828;12;2014;1;29;64.8;72.0;65.3;61.5;52.9;46.0;0.0;0.0;0.0;1.0
2925;12;2014;1;30;65.6;74.3;66.1;63.1;60.2;58.1;1.0;0.0;0.0;0.0
2926;12;2014;1;30;65.0;71.7;65.4;62.3;59.1;56.7;0.0;1.0;0.0;0.0
2927;12;2014;1;30;57.2;64.7;60.8;55.1;48.5;44.2;0.0;0.0;1.0;0.0
2928;12;2014;1;30;64.1;71.7;65.3;61.6;52.4;45.8;0.0;0.0;0.0;1.0
3025;12;2014;1;31;64.7;71.6;65.9;63.1;60.2;58.2;1.0;0.0;0.0;0.0
3026;12;2014;1;31;63.9;70.3;65.3;62.5;59.6;57.7;0.0;1.0;0.0;0.0
3027;12;2014;1;31;59.5;65.8;61.8;56.5;50.6;46.8;0.0;0.0;1.0;0.0
3028;12;2014;1;31;63.4;70.1;65.3;61.8;54.0;48.3;0.0;0.0;0.0;1.0
3125;12;2014;2;1;63.6;72.6;64.9;61.6;57.9;54.5;1.0;0.0;0.0;0.0
3126;12;2014;2;1;62.8;69.3;64.6;61.8;58.6;56.0;0.0;1.0;0.0;0.0
3127;12;2014;2;1;60.0;66.5;62.7;58.5;53.6;50.2;0.0;0.0;1.0;0.0
3128;12;2014;2;1;62.5;70.4;64.4;60.7;55.9;51.6;0.0;0.0;0.0;1.0
3225;12;2014;2;2;63.3;68.6;64.4;60.7;56.3;53.0;1.0;0.0;0.0;0.0
3226;12;2014;2;2;63.4;69.5;63.9;60.8;57.3;54.5;0.0;1.0;0.0;0.0
3227;12;2014;2;2;60.6;65.9;62.3;58.0;52.8;49.4;0.0;0.0;1.0;0.0
