ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
81;47;2014;1;1;53.1;62.0;53.6;47.2;42.0;40.2;1.0;0.0;0.0;0.0
82;47;2014;1;1;58.1;67.5;56.7;50.3;46.7;45.1;0.0;1.0;0.0;0.0
83;47;2014;1;1;81.4;89.7;60.3;46.6;41.8;39.5;0.0;0.0;1.0;0.0
84;47;2014;1;1;76.7;73.1;56.1;47.8;42.2;40.1;0.0;0.0;0.0;1.0
181;47;2014;1;2;55.7;66.2;57.6;52.2;50.1;49.0;1.0;0.0;0.0;0.0
182;47;2014;1;2;69.9;66.6;57.2;51.5;48.4;46.6;0.0;1.0;0.0;0.0
183;47;2014;1;2;49.0;58.7;50.0;44.9;41.3;39.6;0.0;0.0;1.0;0.0
184;47;2014;1;2;62.7;64.9;56.4;51.0;43.4;40.3;0.0;0.0;0.0;1.0
281;47;2014;1;3;56.3;66.9;57.5;51.9;49.3;48.0;1.0;0.0;0.0;0.0
282;47;2014;1;3;54.9;65.6;57.8;50.8;48.2;47.0;0.0;1.0;0.0;0.0
283;47;2014;1;3;49.5;60.1;50.3;44.9;42.3;41.2;0.0;0.0;1.0;0.0
284;47;2014;1;3;54.7;65.5;56.5;50.5;43.5;41.5;0.0;0.0;0.0;1.0
381;47;2014;1;4;56.5;65.9;59.7;53.6;49.2;46.7;1.0;0.0;0.0;0.0
382;47;2014;1;4;58.5;69.0;58.3;51.6;48.9;45.6;0.0;1.0;0.0;0.0
383;47;2014;1;4;51.0;60.2;52.5;47.1;44.5;43.2;0.0;0.0;1.0;0.0
384;47;2014;1;4;55.8;65.7;58.3;51.1;45.5;43.4;0.0;0.0;0.0;1.0
481;47;2014;1;5;55.0;67.1;55.3;48.8;45.3;44.1;1.0;0.0;0.0;0.0
482;47;2014;1;5;60.0;71.1;57.2;48.4;45.9;44.6;0.0;1.0;0.0;0.0
483;47;2014;1;5;47.4;56.9;47.5;43.1;40.5;39.3;0.0;0.0;1.0;0.0
484;47;2014;1;5;55.4;66.7;54.3;47.1;41.8;39.9;0.0;0.0;0.0;1.0
581;47;2014;1;6;52.1;62.1;54.4;47.6;44.1;41.7;1.0;0.0;0.0;0.0
582;47;2014;1;6;64.3;67.8;56.4;49.1;44.6;42.1;0.0;1.0;0.0;0.0
583;47;2014;1;6;48.6;58.9;49.1;43.7;41.2;39.9;0.0;0.0;1.0;0.0
584;47;2014;1;6;57.4;62.9;53.9;46.5;42.1;40.3;0.0;0.0;0.0;1.0
681;47;2014;1;7;55.3;67.5;56.7;50.4;46.2;43.9;1.0;0.0;0.0;0.0
682;47;2014;1;7;59.6;72.2;59.9;50.6;44.9;41.2;0.0;1.0;0.0;0.0
683;47;2014;1;7;47.9;59.0;49.2;41.2;37.4;36.2;0.0;0.0;1.0;0.0
684;47;2014;1;7;55.4;68.3;56.0;48.3;39.0;36.6;0.0;0.0;0.0;1.0
781;47;2014;1;8;55.4;67.5;56.9;50.7;47.1;45.1;1.0;0.0;0.0;0.0
782;47;2014;1;8;57.8;70.8;57.5;49.7;46.5;45.1;0.0;1.0;0.0;0.0
783;47;2014;1;8;49.4;59.4;48.0;41.8;39.1;38.1;0.0;0.0;1.0;0.0
784;47;2014;1;8;54.8;67.4;55.8;48.7;40.5;38.4;0.0;0.0;0.0;1.0
881;47;2014;1;9;56.2;67.9;57.1;51.5;46.6;44.0;1.0;0.0;0.0;0.0
882;47;2014;1;9;59.8;73.0;58.3;50.5;46.9;45.4;0.0;1.0;0.0;0.0
