ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
85;48;2014;1;1;61.7;66.3;64.1;59.8;54.0;49.5;1.0;0.0;0.0;0.0
86;48;2014;1;1;61.7;65.8;64.0;61.6;56.4;53.2;0.0;1.0;0.0;0.0
87;48;2014;1;1;64.8;68.3;63.5;59.8;53.1;46.4;0.0;0.0;1.0;0.0
88;48;2014;1;1;63.1;66.5;63.9;60.3;54.5;50.1;0.0;0.0;0.0;1.0
185;48;2014;1;2;64.7;68.9;66.8;64.4;60.9;57.8;1.0;0.0;0.0;0.0
186;48;2014;1;2;63.6;68.2;65.9;63.1;58.7;54.6;0.0;1.0;0.0;0.0
187;48;2014;1;2;57.5;65.4;61.7;54.6;45.7;42.1;0.0;0.0;1.0;0.0
188;48;2014;1;2;63.1;68.5;66.2;62.7;50.8;43.2;0.0;0.0;0.0;1.0
285;48;2014;1;3;64.1;68.6;66.3;63.8;59.9;56.4;1.0;0.0;0.0;0.0
286;48;2014;1;3;64.9;69.5;66.9;64.5;60.5;56.5;0.0;1.0;0.0;0.0
287;48;2014;1;3;59.1;65.6;62.5;57.0;50.1;46.0;0.0;0.0;1.0;0.0
288;48;2014;1;3;63.2;68.5;66.0;62.7;54.1;47.5;0.0;0.0;0.0;1.0
385;48;2014;1;4;64.0;69.6;66.8;63.3;57.0;52.2;1.0;0.0;0.0;0.0
386;48;2014;1;4;63.1;67.8;65.2;62.8;59.3;56.1;0.0;1.0;0.0;0.0
387;48;2014;1;4;61.0;66.8;64.3;59.7;53.6;50.3;0.0;0.0;1.0;0.0
388;48;2014;1;4;63.0;68.9;66.0;62.0;55.4;51.2;0.0;0.0;0.0;1.0
485;48;2014;1;5;62.2;71.7;64.0;60.3;54.6;49.8;1.0;0.0;0.0;0.0
486;48;2014;1;5;71.4;73.6;70.1;62.8;58.0;54.2;0.0;1.0;0.0;0.0
487;48;2014;1;5;59.2;64.7;62.2;58.3;53.3;49.3;0.0;0.0;1.0;0.0
488;48;2014;1;5;65.3;72.2;64.6;60.1;54.4;49.7;0.0;0.0;0.0;1.0
585;48;2014;1;6;61.2;66.3;64.0;60.6;54.5;49.3;1.0;0.0;0.0;0.0
586;48;2014;1;6;61.5;65.5;63.8;61.4;57.1;53.8;0.0;1.0;0.0;0.0
587;48;2014;1;6;59.8;65.3;63.0;58.8;52.5;48.2;0.0;0.0;1.0;0.0
588;48;2014;1;6;60.8;65.9;63.7;60.1;54.0;49.0;0.0;0.0;0.0;1.0
685;48;2014;1;7;63.4;68.9;65.7;62.8;59.1;56.0;1.0;0.0;0.0;0.0
686;48;2014;1;7;62.7;68.4;65.0;62.1;57.6;54.3;0.0;1.0;0.0;0.0
687;48;2014;1;7;56.8;64.1;60.8;54.2;45.5;41.4;0.0;0.0;1.0;0.0
688;48;2014;1;7;61.9;68.1;64.9;61.2;50.5;42.8;0.0;0.0;0.0;1.0
785;48;2014;1;8;63.7;68.9;65.9;63.0;59.2;55.5;1.0;0.0;0.0;0.0
786;48;2014;1;8;63.0;68.7;65.4;62.4;57.7;53.1;0.0;1.0;0.0;0.0
787;48;2014;1;8;56.9;64.7;60.9;54.3;46.2;42.6;0.0;0.0;1.0;0.0
788;48;2014;1;8;62.2;68.1;65.3;61.4;50.8;43.9;0.0;0.0;0.0;1.0
885;48;2014;1;9;63.5;68.4;65.9;62.9;59.2;55.7;1.0;0.0;0.0;0.0
886;48;2014;1;9;63.2;69.3;65.6;62.5;58.4;55.0;0.0;1.0;0.0;0.0
887;48;2014;1;9;57.3;64.7;61.2;54.8;47.2;43.5;0.0;0.0;1.0;0.0
888;48;2014;1;9;62.2;68.0;65.3;61.6;51.7;44.7;0.0;0.0;0.0;1.0
985;48;2014;1;10;63.4;68.0;65.8;62.7;59.0;55.6;1.0;0.0;0.0;0.0
986;48;2014;1;10;62.7;67.7;65.0;62.0;58.1;54.3;0.0;1.0;0.0;0.0
987;48;2014;1;10;58.9;65.8;62.5;57.0;49.6;45.4;0.0;0.0;1.0;0.0
988;48;2014;1;10;62.1;67.7;65.2;61.4;53.7;47.0;0.0;0.0;0.0;1.0
1085;48;2014;1;11;62.2;68.8;64.6;61.6;56.3;51.2;1.0;0.0;0.0;0.0
1086;48;2014;1;11;63.0;68.6;65.2;62.5;57.8;54.7;0.0;1.0;0.0;0.0
1087;48;2014;1;11;60.2;66.1;62.9;59.2;53.0;49.0;0.0;0.0;1.0;0.0
1088;48;2014;1;11;61.8;68.0;64.4;61.1;55.1;50.0;0.0;0.0;0.0;1.0
1185;48;2014;1;12;61.4;66.9;63.9;60.6;54.3;49.4;1.0;0.0;0.0;0.0
1186;48;2014;1;12;61.2;65.6;63.6;61.0;56.4;52.3;0.0;1.0;0.0;0.0
1187;48;2014;1;12;60.7;65.8;63.3;59.9;53.9;49.9;0.0;0.0;1.0;0.0
1188;48;2014;1;12;61.2;66.5;63.8;60.5;54.4;49.9;0.0;0.0;0.0;1.0
1285;48;2014;1;13;64.6;69.8;66.8;63.9;60.4;57.0;1.0;0.0;0.0;0.0
1286;48;2014;1;13;63.3;68.8;65.7;62.6;57.9;54.1;0.0;1.0;0.0;0.0
1287;48;2014;1;13;58.4;65.7;62.4;56.1;48.2;43.1;0.0;0.0;1.0;0.0
1288;48;2014;1;13;63.0;68.9;66.1;62.2;52.6;45.1;0.0;0.0;0.0;1.0
1385;48;2014;1;14;64.4;69.0;66.8;63.8;60.1;57.1;1.0;0.0;0.0;0.0
1386;48;2014;1;14;63.5;70.6;65.7;62.7;58.5;55.0;0.0;1.0;0.0;0.0
